Label,X,Y,Z
FSL,-1.3027509562599238e-05,-0.12998204218480974,-0.0028180958987115146
FSM,-1.3027509562599238e-05,-0.12998204218480974,-0.0028180958987115146
FALC,-0.008652550829224576,-0.1206870280097134,-0.04538266816202369
FPL,-0.0005439227724177743,-0.13243025658214175,-0.01057571953237027
FCC,-0.0029423682930109704,-0.1330007150572185,-0.008261421603510566
FHP,-0.002883894124058763,-0.1318639718777032,-0.007510969161688336
TPM,-0.0008704092410980295,-0.1319735698883049,-0.005768359587259839
TPL,0.001230181623268961,-0.13231511744019336,0.002705135594233049
TA,-0.042250423665518955,-0.11269497559492606,-0.10927724611580922
TT,-0.019588801693975567,-0.12688668213159987,-0.05783998334791457
